Code,Ranking,Economy,GDP_USD_millions,Continent
USA,1,United States,28750956,North America
CHN,2,China,18743803,Asia
DEU,3,Germany,4685593,Europe
JPN,4,Japan,4027598,Asia
IND,5,India,3909892,Asia
GBR,6,United Kingdom,3686033,Europe
FRA,7,France,3160443,Europe
ITA,8,Italy,2380825,Europe
CAN,9,Canada,2243637,North America
BRA,10,Brazil,2185822,South America
RUS,11,Russian Federation,2173836,Europe
KOR,12,"Korea, Rep.",1875388,Asia
MEX,13,Mexico,1856366,North America
AUS,14,Australia,1757022,Oceania
ESP,15,Spain,1725672,Europe
IDN,16,Indonesia,1396300,Asia
TUR,17,Türkiye,1359124,Asia
SAU,18,Saudi Arabia,1239805,Asia
NLD,19,Netherlands,1214928,Europe
CHE,20,Switzerland,936564,Europe
POL,21,Poland,917767,Europe
BEL,22,Belgium,671370,Europe
ARG,23,Argentina,638365,South America
IRL,24,Ireland,609157,Europe
SWE,25,Sweden,603715,Europe
ARE,26,United Arab Emirates,552325,Asia
SGP,27,Singapore,547387,Asia
ISR,28,Israel,540380,Asia
AUT,29,Austria,534791,Europe
THA,30,Thailand,526518,Asia
NOR,31,Norway,483593,Europe
VNM,32,Viet Nam,476388,Asia
IRN,33,"Iran, Islamic Rep.",475252,Asia
PHL,34,Philippines,461618,Asia
BGD,35,Bangladesh,450119,Asia
DNK,36,Denmark,424525,Europe
MYS,37,Malaysia,422227,Asia
COL,38,Colombia,418818,South America
HKG,39,"Hong Kong SAR, China",406863,Asia
ZAF,40,South Africa,401145,Africa
EGY,41,"Egypt, Arab Rep.",389060,Africa
ROU,42,Romania,382564,Europe
PAK,43,Pakistan,371570,Asia
CZE,44,Czech Republic,347034,Europe
CHL,45,Chile,330267,South America
PRT,46,Portugal,313271,Europe
FIN,47,Finland,298697,Europe
KAZ,48,Kazakhstan,291480,Asia
PER,49,Peru,289222,South America
IRQ,50,Iraq,279641,Asia
DZA,51,Algeria,269322,Africa
NZL,52,New Zealand,260172,Oceania
GRC,53,Greece,256238,Europe
NGA,54,Nigeria,252262,Africa
HUN,55,Hungary,222723,Europe
QAT,56,Qatar,219163,Asia
UKR,57,Ukraine,190741,Europe
MAR,58,Morocco,160611,Africa
KWT,59,Kuwait,160227,Asia
ETH,60,Ethiopia,149740,Africa
SVK,61,Slovak Republic,140934,Europe
PRI,62,Puerto Rico (US),126030,North America
ECU,63,Ecuador,124676,South America
DOM,64,Dominican Republic,124282,North America
KEN,65,Kenya,120340,Africa
VEN,66,"Venezuela, RB",119803,South America
UZB,67,Uzbekistan,114965,Asia
BGR,68,Bulgaria,113343,Europe
GTM,69,Guatemala,113200,North America
OMN,70,Oman,107137,Asia
AGO,71,Angola,100999,Africa
LKA,72,Sri Lanka,98963,Asia
CRI,73,Costa Rica,95350,North America
LUX,74,Luxembourg,93280,Europe
HRV,75,Croatia,92984,Europe
SRB,76,Serbia,90098,Europe
CIV,77,Côte d'Ivoire,87113,Africa
PAN,78,Panama,86524,North America
LTU,79,Lithuania,84869,Europe
GHA,80,Ghana,82308,Africa
URY,81,Uruguay,80962,South America
TZA,82,Tanzania,78844,Africa
BLR,83,Belarus,75962,Europe
AZE,84,Azerbaijan,74316,Asia
MMR,85,Myanmar,74068,Asia
SVN,86,Slovenia,72972,Europe
COD,87,"Congo, Dem. Rep.",70962,Africa
BOL,88,Bolivia,54881,South America
UGA,89,Uganda,53912,Africa
JOR,90,Jordan,53352,Asia
CMR,91,Cameroon,53297,Africa
TKM,92,Turkmenistan,51387,Asia
TUN,93,Tunisia,51332,Africa
SDN,94,Sudan,49672,Africa
MAC,95,"Macao SAR, China",49467,Asia
LBY,96,Libya,48487,Africa
BHR,97,Bahrain,47110,Asia
KHM,98,Cambodia,46353,Asia
PRY,99,Paraguay,44458,South America
LVA,100,Latvia,43684,Europe
EST,101,Estonia,43130,Europe
NPL,102,Nepal,42914,Asia
ZWE,103,Zimbabwe,41539,Africa
CYP,104,Cyprus,37635,Europe
HND,105,Honduras,37094,North America
SLV,106,El Salvador,35365,North America
GEO,107,Georgia,34189,Asia
ISL,108,Iceland,33255,Europe
SEN,109,Senegal,32808,Africa
PNG,110,Papua New Guinea,31800,Oceania
BIH,111,Bosnia and Herzegovina,29614,Europe
ALB,112,Albania,27046,Europe
MLI,113,Mali,26795,Africa
ARM,114,Armenia,25955,Asia
TTO,115,Trinidad and Tobago,25634,North America
ZMB,116,Zambia,25303,Africa
HTI,117,Haiti,25224,North America
GIN,118,Guinea,25009,Africa
MLT,119,Malta,24972,Europe
GUY,120,Guyana,24663,South America
MNG,121,Mongolia,23795,Asia
BFA,122,Burkina Faso,23125,Africa
MOZ,123,Mozambique,22745,Africa
JAM,124,Jamaica,22014,North America
BEN,125,Benin,21483,Africa
GAB,126,Gabon,20896,Africa
LBN,127,Lebanon,20079,Asia
SYR,128,Syrian Arab Republic,19993,Asia
NER,129,Niger,19876,Africa
NIC,130,Nicaragua,19694,North America
TCD,131,Chad,19519,Africa
BWA,132,Botswana,19402,Africa
MDA,133,Moldova,18200,Europe
KGZ,134,Kyrgyz Republic,17478,Asia
MDG,135,Madagascar,17421,Africa
AFG,136,Afghanistan,17152,Asia
MKD,137,North Macedonia,16952,Europe
LAO,138,Lao PDR,16503,Asia
BHS,139,"Bahamas, The",15833,North America
COG,140,"Congo, Rep.",15720,Africa
BRN,141,Brunei Darussalam,15341,Asia
MUS,142,Mauritius,14938,Africa
RWA,143,Rwanda,14252,Africa
TJK,144,Tajikistan,14205,Asia
PSE,145,West Bank and Gaza,13711,Asia
NAM,146,Namibia,13372,Africa
GNQ,147,Equatorial Guinea,12766,Africa
CHI,148,Channel Islands,12507,Europe
SOM,149,Somalia,11967,Africa
MWI,150,Malawi,11316,Africa
XKX,151,Kosovo,11197,Europe
MCO,152,Monaco,11126,Europe
MRT,153,Mauritania,10908,Africa
TGO,154,Togo,10651,Africa
BMU,155,Bermuda,9234,North America
NCL,156,New Caledonia,8549,Oceania
MNE,157,Montenegro,8270,Europe
LIE,158,Liechtenstein,8239,Europe
BRB,159,Barbados,7498,North America
IMN,160,Isle of Man,7431,Europe
CYM,161,Cayman Islands,7241,North America
MDV,162,Maldives,7062,Asia
SLE,163,Sierra Leone,6971,Africa
GUM,164,Guam,6910,Oceania
PYF,165,French Polynesia,6324,Oceania
FJI,166,Fiji,5968,Oceania
SWZ,167,Eswatini,4859,Africa
LBR,168,Liberia,4779,Africa
VIR,169,"Virgin Islands (U.S.)",4672,North America
SUR,170,Suriname,4417,South America
ABW,171,Aruba,4266,North America
DJI,172,Djibouti,4152,Africa
FRO,173,Faroe Islands,4053,Europe
AND,174,Andorra,4040,Europe
CUW,175,Curaçao,3561,North America
GRL,176,Greenland,3327,North America
BLZ,177,Belize,3204,North America
BDI,178,Burundi,3082,Africa
BTN,179,Bhutan,3013,Asia
CAF,180,Central African Republic,2751,Africa
CPV,181,Cabo Verde,2725,Africa
LCA,182,St. Lucia,2549,North America
GMB,183,"Gambia, The",2405,Africa
LSO,184,Lesotho,2272,Africa
GNB,185,Guinea-Bissau,2218,Africa
ATG,186,Antigua and Barbuda,2208,North America
SYC,187,Seychelles,2167,Africa
SMR,188,San Marino,2028,Europe
TLS,189,Timor-Leste,1866,Asia
SXM,190,Sint Maarten (Dutch part),1798,North America
TCA,191,Turks and Caicos Islands,1745,North America
SLB,192,Solomon Islands,1584,Oceania
COM,193,Comoros,1441,Africa
GRD,194,Grenada,1372,North America
WSM,195,Samoa,1176,Oceania
VCT,196,St. Vincent and the Grenadines,1157,North America
KNA,197,St. Kitts and Nevis,1122,North America
VUT,198,Vanuatu,1118,Oceania
MNP,199,Northern Mariana Islands,1096,Oceania
ASM,200,American Samoa,871,Oceania
STP,201,São Tomé and Principe,822,Africa
DMA,202,Dominica,689,North America
TON,203,Tonga,591,Oceania
FSM,204,"Micronesia, Fed. Sts.",471,Oceania
KIR,205,Kiribati,308,Oceania
MHL,206,Marshall Islands,290,Oceania
PLW,207,Palau,277,Oceania
NRU,208,Nauru,163,Oceania
TUV,209,Tuvalu,62,Oceania
VGB,,British Virgin Islands,-,North America
CUB,,Cuba,-,North America
ERI,,Eritrea,-,Africa
GIB,,Gibraltar,-,Europe
PRK,,"Korea, Dem. People's Rep.",-,Asia
SSD,,South Sudan,-,Africa
MAF,,St. Martin (French part),-,North America
YEM,,"Yemen, Rep.",-,Asia